"provider","prvdr_num","fyb","fybstr","fye","fyestr","status","hospital_name","street_addr","po_box","city","state","zip_code","county","ime1","ime2","ime3","dsh1","dsh2","dsh3","dshpct","gme_part_a","gme_part_b","beds","bed_days","medicare_days","medicaid_days","days","intres","employees","volunteers","medicare_disch","medicaid_disch","discharges","medicaid_hmo_discharges","medicaid_hmo_ipf_subprovider","medicaid_hmo_irf_subprovider","medicaid_ipf_subprovider","medicaid_irf_subprovider","total_discharges_subprovider_ipf","total_discharges_subprovider_irf"
"010029","010029",10/1/2015,"01-OCT-15",9/30/2016,"30-SEP-16","Amended","EAST ALABAMA MEDICAL CENTER             ","2000 PEPPERELL PKWY                     ",,"OPELIKA                                 ","AL                                      ","36802-                                  ","LEE                                     ",,,,1448054,,,0.121299996972084,,,315,115290,34763,14487,76801,,2253.94995117188,,5892,2691,14626,,,,,,,
"010032","010032",10/1/2015,"01-OCT-15",9/30/2016,"30-SEP-16","As Submitted","WEDOWEE HOSPITAL                        ","301 NORTH MAIN STREET                   ",,"WEDOWEE                                 ","AL                                      ","36278                                   ","RANDOLPH                                ",,,,7371,,,0.0586999990046024,,,34,12444,419,106,1302,,74.6399993896484,,127,39,323,,,,,,,
"010033","010033",10/1/2015,"01-OCT-15",9/30/2016,"30-SEP-16","As Submitted","UNIVERSITY OF ALABAMA HOSPITAL          ","619 SOUTH 19TH STREET                   ",,"BIRMINGHAM                              ","AL                                      ","35233                                   ","JEFFERSON                               ",21577558,,,6865159,,,0.1925999969244,7686420,3132209,1054,385663,81162,85077,311787,555.820007324219,8554,,12839,11103,43655,,,,,38,2587,1245
"010034","010034",10/1/2015,"01-OCT-15",9/30/2016,"30-SEP-16","As Submitted","COMMUNITY HOSPITAL INC.                 ","805 FRIENDSHIP DRIVE                    ",,"TALLASSEE                               ","AL                                      ","36078                                   ","ELMORE                                  ",,,,51448,,,0.0762000009417534,,,37,13505,3240,622,6139,,224.479995727539,,491,145,1111,,,,6,,168,
"010035","010035",7/1/2016,"01-JUL-16",6/30/2017,"30-JUN-17","As Submitted","CULLMAN REGIONAL                        ","1912 ALABAMA HIGHWAY 157                ",,"CULLMAN                                 ","AL                                      ","35056                                   ","CULLMAN                                 ",,,,403214,,,0.0710000023245811,,,115,41975,13795,3011,27219,,817.090026855469,,3383,1390,7807,,,,,,,
"010036","010036",4/1/2016,"01-APR-16",3/31/2017,"31-MAR-17","As Submitted","ANDALUSIA REGIONAL HOSPITAL             ","849 THREE NOTCH STREET                  ",,"ANDALUSIA                               ","AL                                      ","36420                                   ","COVINGTON                               ",,,,238822,,,0.119999997317791,,,88,32120,5613,2413,10986,,240.979995727539,,1449,655,3107,142,,,,,,
"010038","010038",7/1/2016,"01-JUL-16",4/30/2017,"30-APR-17","As Submitted","STRINGFELLOW MEMORIAL HOSPITAL          ","301 EAST 18TH STREET                    ","38                                      ","ANNISTON                                ","AL                                      ","36207                                   ","CALHOUN                                 ",,,,229014,,,0.134900003671646,,,125,38000,4919,1495,10185,,255.190002441406,,1205,352,2427,,,,,,,
"010039","010039",7/1/2016,"01-JUL-16",6/30/2017,"30-JUN-17","Amended","HUNTSVILLE HOSPITAL                     ","101 SIVLEY ROAD                         ",,"HUNTSVILLE                              ","AL                                      ","35801-                                  ","MADISON                                 ",5078944,,,3829140,,,0.109499998390675,1505852,644038,863,314995,85333,47829,241872,58.7299995422363,5986.22021484375,,15495,10047,49243,,,,234,,1551,
"010040","010040",10/1/2015,"01-OCT-15",9/30/2016,"30-SEP-16","As Submitted","GADSDEN REGIONAL MEDICAL CENTER         ","1007 GOODYEAR AVENUE                    ",,"GADSDEN                                 ","AL                                      ","35999                                   ","ETOWAH                                  ",,,,1251047,,,0.124099999666214,,,225,82350,28580,11574,70009,,1105.02001953125,,4976,2278,14190,,,,14,,299,
"010044","010044",10/1/2015,"01-OCT-15",9/30/2016,"30-SEP-16","Amended","MARION REGIONAL MEDICAL CENTER          ","1256 MILITARY ST SOUTH                  ",,"HAMILTON                                ","AL                                      ","35570-                                  ","MARION                                  ",,,,22321,,,0.0553999990224838,,,36,13176,3193,115,3966,,111.23999786377,,322,38,482,,,,,,,
"010045","010045",10/1/2015,"01-OCT-15",9/30/2016,"30-SEP-16","As Submitted","FAYETTE MEDICAL CENTER                  ","1653 TEMPLE AVENUE NORTH                ",,"FAYETTE                                 ","AL                                      ","35555-                                  ","FAYETTE                                 ",,,,34554,,,0.0485999993979931,,,42,15372,3977,267,4998,,182.800003051758,,513,89,831,,,,,,,
"010046","010046",1/1/2016,"01-JAN-16",12/31/2016,"31-DEC-16","Amended","RIVERVIEW REGIONAL MEDICAL CENTER       ","600 SOUTH 3RD STREET                    ",,"GADSDEN                                 ","AL                                      ","35901                                   ","ETOWAH                                  ",,,,432210,,,0.0838999971747398,,,256,93440,13704,3030,29261,,621.909973144531,,2994,855,7308,1,,,5,,192,
"010047","010047",1/1/2016,"01-JAN-16",12/31/2016,"31-DEC-16","Amended","GEORGIANA HOSPITAL                      ","515 MIRANDA STREET                      ",,"GEORGIANA                               ","AL                                      ","36033                                   ","BUTLER                                  ",,,,12289,,,0.0377999991178513,,,22,8052,1146,128,1637,,42.0699996948242,,347,44,512,,,,,,,
"010049","010049",1/1/2016,"01-JAN-16",12/31/2016,"31-DEC-16","As Submitted","MEDICAL CENTER ENTERPRISE               ","400 NORTH EDWARDS STREET                ",,"ENTERPRISE                              ","AL                                      ","36330-                                  ","COFFEE                                  ",,,,175583,,,0.119999997317791,,,117,42822,3123,3567,10352,,341.450012207031,,1007,986,3426,,,,,,,
"010051","010051",10/1/2015,"01-OCT-15",9/30/2016,"30-SEP-16","As Submitted","GREENE COUNTY HOSPITAL                  ","509 WILSON AVENUE                       ",,"EUTAW                                   ","AL                                      ","35462                                   ","GREENE                                  ",,,,14645,,,0.119999997317791,,,20,7320,342,171,716,,93.4199981689453,,100,63,216,,,,,,,
"010052","010052",1/1/2016,"01-JAN-16",12/31/2016,"31-DEC-16","Amended","LAKE MARTIN COMMUNITY HOSPITAL          ","1231 SOUTH STREET                       ",,"DADEVILLE                               ","AL                                      ","36853                                   ","TALLAPOOSA                              ",,,,32076,,,0.0939000025391579,,,46,16836,951,180,1575,,83.0400009155273,,335,57,596,,,,,,,
"010055","010055",10/1/2015,"01-OCT-15",9/30/2016,"30-SEP-16","As Submitted","FLOWERS HOSPITAL                        ","4370 WEST MAIN STREET                   ","6907                                    ","DOTHAN                                  ","AL                                      ","36302-                                  ","HOUSTON                                 ",,,,657713,,,0.0727000012993813,,,235,86010,25025,6220,53315,,1088.42004394531,,4850,1436,11380,,,,,,,
"010056","010056",7/1/2016,"01-JUL-16",6/30/2017,"30-JUN-17","As Submitted","ST VINCENTS BIRMINGHAM                  ","810 ST VINCENTS DRIVE                   ",,"BIRMINGHAM                              ","AL                                      ","35205-                                  ","JEFFERSON                               ",69552,,,511110,,,0.0397999994456768,38980,19340,409,149285,30108,7963,107239,,,,5576,1296,20328,,,,,,,
"010058","010058",10/1/2015,"01-OCT-15",9/30/2016,"30-SEP-16","Amended","BIBB MEDICAL CENTER                     ","165 PIERSON AVENUE                      ",,"CENTREVILLE                             ","AL                                      ","35042                                   ","BIBB                                    ",,,,21816,,,0.119999997317791,,,25,9125,1879,776,4222,,124.379997253418,,157,147,517,,,,,,,
"010059","010059",10/1/2015,"01-OCT-15",9/30/2016,"30-SEP-16","As Submitted","LAWRENCE MEDICAL CENTER                 ","202 HOSPITAL STREET                     ",,"MOULTON                                 ","AL                                      ","35650-                                  ","LAWRENCE                                ",,,,31243,,,0.0719000026583672,,,43,15738,2191,187,3003,,122.089996337891,,358,58,639,,,,,,,
"010061","010061",10/1/2015,"01-OCT-15",9/30/2016,"30-SEP-16","As Submitted","HIGHLANDS MEDICAL CENTER                ","380 WOOD COVE ROAD                      ","1050                                    ","SCOTTSBORO                              ","AL                                      ","35768                                   ","JACKSON                                 ",,,,237267,,,0.119999997317791,,,170,62220,6618,2747,11635,,398.450012207031,,1489,957,3767,,,,,,,
"010062","010062",10/1/2015,"01-OCT-15",9/30/2016,"30-SEP-16","Amended","WIREGRASS MEDICAL CENTER                ","1200 WEST MAPLE STREET                  ",,"GENEVA                                  ","AL                                      ","36340                                   ","GENEVA                                  ",,,,50446,,,0.0768000036478043,,,73,26718,2823,432,4612,,162.789993286133,,617,129,1099,9,,,,,271,
"010065","010065",1/1/2016,"01-JAN-16",12/31/2016,"31-DEC-16","Amended","RUSSELL MEDICAL CENTER                  ","C                                       ","939                                     ","ALEXANDER CITY                          ","AL                                      ","35010                                   ","TALLAPOOSA                              ",,,,427428,,,0.160500004887581,,,43,15695,5418,2623,11155,,472.029998779297,,1541,629,3061,,,,,,,
"010069","010069",10/1/2015,"01-OCT-15",9/30/2016,"30-SEP-16","As Submitted","SEAR                                    ","820 WEST WASHINGTON STREET              ",,"EUFAULA                                 ","AL                                      ","36027                                   ","BARBOUR                                 ",,,,74310,,,0.116400003433228,,,30,10980,3297,617,5412,,147.210006713867,,556,118,1082,,,,,,228,
"010073","010073",10/1/2015,"01-OCT-15",9/30/2016,"30-SEP-16","As Submitted","CLAY COUNTY HOSPITAL                    ","544 EAST AVENUE                         ",,"ASHLAND                                 ","AL                                      ","36251                                   ","CLAY                                    ",,,,176968,,,0.260699987411499,,,46,16836,3972,1544,6194,,161.660003662109,,606,310,1233,,,,,,,
"010078","010078",7/1/2016,"01-JUL-16",6/30/2017,"30-JUN-17","As Submitted","NORTHEAST ALABAMA REGIONAL MED CTR      ","400 EAST TENTH STREET                   ","2208                                    ","ANNISTON                                ","AL                                      ","36202-                                  ","CALHOUN                                 ",,,,1310352,,,0.159700006246567,,,250,91500,26756,13794,56309,,1359.02001953125,,4576,4330,12131,,,,174,,870,
"010079","010079",1/1/2016,"01-JAN-16",6/30/2016,"30-JUN-16","Amended","ATHENS LIMESTONE                        ","ATHENS LIMESTONE HOSPITAL               ","999                                     ","ATHENS                                  ","AL                                      ","35611-                                  ","LIMESTONE                               ",,,,176026,,,0.119999997317791,,,71,12922,3679,1535,7996,,515.469970703125,,890,571,2299,,,,,,,
"010079","010079",7/1/2016,"01-JUL-16",6/30/2017,"30-JUN-17","Amended","ATHENS LIMESTONE                        ","ATHENS LIMESTONE HOSPITAL               ","999                                     ","ATHENS                                  ","AL                                      ","35611-                                  ","LIMESTONE                               ",,,,336005,,,0.117899999022484,,,71,25915,6660,2728,14634,,495.730010986328,,1653,1002,4348,,,,,,,
"010083","010083",10/1/2015,"01-OCT-15",9/30/2016,"30-SEP-16","As Submitted","SOUTH BALDWIN REGIONAL MEDICAL CENTE    ","1613 NORTH MCKENZIE                     ",,"FOLEY                                   ","AL                                      ","36535-                                  ","BALDWIN                                 ",,,,181758,,,0.0537000000476837,,,112,40992,9650,2752,26402,,601.640014648438,,2151,924,6505,,,,,,,
"010085","010085",4/1/2016,"01-APR-16",3/31/2017,"31-MAR-17","As Submitted","DECATUR MORGAN - DECATUR CAMPUS         ","7TH STREET S.E.                         ","2239                                    ","DECATUR                                 ","AL                                      ","35609-                                  ","MORGAN                                  ",,,,697116,,,0.100500002503395,,,194,70810,22336,7419,43979,,1078.7900390625,,4278,2344,10131,,,,,,1503,
"010086","010086",1/1/2016,"01-JAN-16",12/31/2016,"31-DEC-16","As Submitted","NORTHWEST MEDICAL CENTER                ","HIGHWAY 78 WEST                         ","130                                     ","WINFIELD                                ","AL                                      ","35594                                   ","MARION                                  ",,,,36163,,,0.046000000089407,,,61,22326,3524,399,5003,,179.350006103516,,668,95,1145,,,,20,,220,
"010087","010087",10/1/2015,"01-OCT-15",9/30/2016,"30-SEP-16","Amended","UNIV OF SOUTH ALABAMA MEDICAL CENTER    ","2451 FILLINGIM STREET                   ",,"MOBILE                                  ","AL                                      ","36617                                   ","MOBILE                                  ",5422340,,,841128,,,0.272199988365173,2087063,1740710,144,52704,7680,12137,42763,137.070007324219,1554.5,,1226,1760,6949,,,,,,,
"010089","010089",10/3/2015,"03-OCT-15",12/31/2015,"31-DEC-15","Amended","WALKER BAPTIST MEDICAL CENTER           ","3400 HIGHWAY 78 EAST                    ","3547                                    ","JASPER                                  ","AL                                      ","35502                                   ","WALKER                                  ",,,,111519,,,0.145400002598763,,,145,13050,2084,1182,6001,,512.580017089844,,466,503,1469,,,,117,,347,
"010089","010089",1/1/2016,"01-JAN-16",12/31/2016,"31-DEC-16","Amended","WALKER BAPTIST MEDICAL CENTER           ","3400 HIGHWAY 78 EAST                    ","3547                                    ","JASPER                                  ","AL                                      ","35502                                   ","WALKER                                  ",,,,691931,,,0.195099994540215,,,219,80154,9019,6197,24231,,456.510009765625,,2020,1297,5845,,,,426,,1620,
"010090","010090",7/1/2016,"01-JUL-16",6/30/2017,"30-JUN-17","As Submitted","PROVIDENCE HOSPITAL                     ","6801 AIRPORT BLVD                       ",,"MOBILE                                  ","AL                                      ","36608                                   ","MOBILE                                  ",29360,,,662404,,,0.0731000006198883,,,349,127385,24755,10978,78609,,1235.90002441406,,4344,1812,15087,115,,,,,,
"010091","010091",7/1/2016,"01-JUL-16",6/30/2017,"30-JUN-17","As Submitted","GROVE HILL MEMORIAL HOSPITAL            ","295 SOUTH JACKSON STREET                ","935                                     ","GROVE HILL                              ","AL                                      ","36451-                                  ","CLARKE                                  ",,,,29461,,,0.119999997317791,,,21,7665,887,1202,3090,,111.879997253418,,258,509,892,,,,15,,165,
"010092","010092",10/1/2015,"01-OCT-15",9/30/2016,"30-SEP-16","Amended","DCH REGIONAL MEDICAL CENTER             ","809 UNIVERSITY BLVD EAST                ",,"TUSCALOOSA                              ","AL                                      ","35401-                                  ","TUSCALOOSA                              ",4450565,,,4222579,,,0.174099996685982,1336038,476812,520,190320,65768,37570,154665,46.7400016784668,3718,,12411,8685,33879,,,,,,1746,778
"010095","010095",10/1/2015,"01-OCT-15",9/30/2016,"30-SEP-16","Amended","HALE COUNTY HOSPITAL                    ","508 GREENE STREET                       ",,"GREENSBORO                              ","AL                                      ","36744                                   ","HALE                                    ",,,,24832,,,0.119999997317791,,,28,10220,2232,260,3167,,78.3600006103516,,194,89,448,,,,,,,
"010097","010097",1/1/2016,"01-JAN-16",12/31/2016,"31-DEC-16","Amended","ELMORE COMMUNITY HOSPITAL               ","500 HOSPITAL DRIVE                      ",,"WETUMPKA                                ","AL                                      ","36092                                   ","ELMORE                                  ",,,,47548,,,0.119999997317791,,,33,12078,1329,536,2974,,124.889999389648,,332,109,760,,,,,,,
"010099","010099",10/1/2015,"01-OCT-15",9/30/2016,"30-SEP-16","As Submitted","D W MCMILLAN MEMORIAL HOSPITAL          ","1301 BELLEVILLE AVENUE                  ","908                                     ","BREWTON                                 ","AL                                      ","36427                                   ","ESCAMBIA                                ",,,,85594,,,0.119999997317791,,,49,17934,2545,2039,6601,,191.830001831055,,646,398,1615,,,,,,,
"010100","010100",4/1/2016,"01-APR-16",3/31/2017,"31-MAR-17","As Submitted","THOMAS HOSPITAL                         ","750 MORPHY AVE                          ","929                                     ","FAIRHOPE                                ","AL                                      ","36532-                                  ","BALDWIN                                 ",,,,250192,,,0.0359999984502792,,,129,47085,15389,4545,37432,,769.010009765625,,3359,1586,8697,,,,,,,
"010101","010101",10/3/2015,"03-OCT-15",12/31/2015,"31-DEC-15","Amended","CITIZENS BAPTIST MEDICAL CENTER         ","604 STONE AVENUE                        ",,"TALLADEGA                               ","AL                                      ","35161                                   ","TALLADEGA                               ",,,,50188,,,0.207900002598763,,,81,7290,718,466,1991,,234.169998168945,,177,194,575,,,,3,,64,
"010101","010101",1/1/2016,"01-JAN-16",12/31/2016,"31-DEC-16","Amended","CITIZENS BAPTIST MEDICAL CENTER         ","604 STONE AVENUE                        ",,"TALLADEGA                               ","AL                                      ","35161                                   ","TALLADEGA                               ",,,,274755,,,0.253800004720688,,,81,29646,2938,2434,8420,,224.279998779297,,818,643,2413,,,,28,,253,
"010102","010102",10/1/2015,"01-OCT-15",9/30/2016,"30-SEP-16","As Submitted","JOHN PAUL JONES HOSPITAL                ","317 MCWILLIAMS AVENUE                   ","B                                       ","CAMDEN                                  ","AL                                      ","36726-1610                              ","WILCOX                                  ",,,,8463,,,0.119999997317791,,,21,7665,376,146,727,,38.9900016784668,,79,42,185,,,,,,,
"010103","010103",10/3/2015,"03-OCT-15",12/31/2015,"31-DEC-15","Amended","PRINCETON BAPTIST MEDICAL CENTER        ","701 PRINCETON AVE SW                    ",,"BIRMINGHAM                              ","AL                                      ","35211                                   ","JEFFERSON                               ",1012702,,,253432,,,0.101899996399879,787066,257921,273,24570,5675,2732,17227,52.310001373291,1194.88000488281,,1034,494,3350,,,,4,,149,
"010103","010103",1/1/2016,"01-JAN-16",12/31/2016,"31-DEC-16","Amended","PRINCETON BAPTIST MEDICAL CENTER        ","701 PRINCETON AVE SW                    ",,"BIRMINGHAM                              ","AL                                      ","35211                                   ","JEFFERSON                               ",4344103,,,1227770,,,0.113600000739098,3180860,868766,272,99479,23448,12268,71782,52.810001373291,1086,,4227,1763,13487,,27,,,,672,
"010104","010104",7/1/2016,"01-JUL-16",6/30/2017,"30-JUN-17","As Submitted","GRANDVIEW MEDICAL CENTER                ","800 MONTCLAIR ROAD                      ",,"BIRMINGHAM                              ","AL                                      ","35213                                   ","JEFFERSON                               ",2404933,,,958154,,,0.0869000032544136,1888695,609473,350,127750,28147,11091,90388,40.310001373291,1444.55004882812,,4819,1472,17199,,,,,,312,393
"010108","010108",7/1/2016,"01-JUL-16",6/30/2017,"30-JUN-17","As Submitted","PRATTVILLE BAPTIST HOSPITAL             ","124 SOUTH MEMORIAL DRIVE                ",,"PRATTVILLE                              ","AL                                      ","36067-                                  ","AUTAUGA                                 ",,,,92584,,,0.0538000017404556,,,50,18250,5625,1704,14142,,297.209991455078,,1259,464,3423,,,,,,,
"010109","010109",10/1/2015,"01-OCT-15",9/30/2016,"30-SEP-16","As Submitted","PICKENS COUNTY MEDICAL CENTER           ","R.K. WILSON DRIVE                       ",,"CARROLLTON                              ","AL                                      ","35477                                   ","PICKENS                                 ",,,,21241,,,0.0746000036597252,,,40,14600,1374,112,2036,,97.2900009155273,,251,51,490,,,,9,,89,
"010110","010110",1/1/2016,"01-JAN-16",12/31/2016,"31-DEC-16","As Submitted","BULLOCK COUNTY HOSPITAL                 ","BULLOCK COUNTY HOSPITAL                 ","102 CONECUH AVENUE                      ","UNION SPRINGS                           ","AL                                      ","36089                                   ","BULLOCK                                 ",,,,32935,,,0.119999997317791,,,30,10980,1200,792,2970,,91.3099975585938,,261,84,615,,,,197,,558,
"010112","010112",10/1/2015,"01-OCT-15",9/30/2016,"30-SEP-16","As Submitted","BRYAN W WHITFIELD MEMORIAL HOSPITAL     ","105 HIGHWAY 80 EAST                     ",,"DEMOPOLIS                               ","AL                                      ","36732                                   ","MARENGO                                 ",,,,99312,,,0.119999997317791,,,89,32485,4779,2544,8509,,234.179992675781,,762,646,1723,,,,16,,160,
"010113","010113",4/1/2016,"01-APR-16",3/31/2017,"31-MAR-17","As Submitted","MOBILE INFIRMARY MEDICAL CENTER         ","FIVE MOBILE INFIRMARY CIRCLE            ","2144                                    ","MOBILE                                  ","AL                                      ","36652-                                  ","MOBILE                                  ",331126,,,2530486,,,0.147400006651878,134104,26589,601,219365,49264,25949,145449,5.11999988555908,1976.76000976562,,8276,3707,25865,,,,306,9,1566,639
"010114","010114",1/1/2016,"01-JAN-16",12/31/2016,"31-DEC-16","As Submitted","UAB MEDICAL WEST                        ","995 NINTH AVENUE  SOUTHWEST             ","847                                     ","BESSEMER                                ","AL                                      ","35023                                   ","JEFFERSON                               ",,,,351415,,,0.112199999392033,,,187,68442,10156,6227,34047,,866.900024414062,,1700,1587,6211,,,,39,38,502,417
"010118","010118",7/1/2016,"01-JUL-16",6/30/2017,"30-JUN-17","As Submitted","VAUGHAN REGIONAL MEDICAL CENTER         ","1015 MEDICAL CENTER PARKWAY             ",,"SELMA                                   ","AL                                      ","36701                                   ","DALLAS                                  ",425149,,,1047119,,,0.386799991130829,331403,178930,163,59495,6307,5938,17692,15.0100002288818,429.440002441406,,1766,1544,5157,314,,,,,,
"010120","010120",10/1/2015,"01-OCT-15",9/30/2016,"30-SEP-16","As Submitted","MONROE COUNTY HOSPITAL                  ","HIGHWAY 21                              ",,"MONROEVILLE                             ","AL                                      ","36461                                   ","MONROE                                  ",,,,64439,,,0.119999997317791,,,49,17934,1653,1023,3871,,212.110000610352,,493,290,1139,,,,,,,
"010125","010125",1/1/2016,"01-JAN-16",12/31/2016,"31-DEC-16","As Submitted","LAKELAND COMMUNITY HOSPITAL             ","HIIGHWAY 195 EAST                       ","780                                     ","HALEYVILLE                              ","AL                                      ","35565                                   ","WINSTON                                 ",,,,139562,,,0.162799999117851,,,50,18300,4282,781,6261,,111.569999694824,,835,171,1387,,,,15,,112,
"010126","010126",1/1/2016,"01-JAN-16",12/31/2016,"31-DEC-16","As Submitted","TROY REGIONAL MEDICAL CENTER            ","130 HIGHWAY 231                         ",,"TROY                                    ","AL                                      ","36081                                   ","PIKE                                    ",,,,95416,,,0.119999997317791,,,97,35502,3124,1388,6973,,241.339996337891,,591,339,1653,,,,,,,
"010128","010128",1/1/2016,"01-JAN-16",12/31/2016,"31-DEC-16","As Submitted","JACKSON MEDICAL CENTER                  ","220 HOSPITAL DRIVE                      ",,"JACKSON                                 ","AL                                      ","36545                                   ","CLARKE                                  ",,,,39658,,,0.119999997317791,,,35,12810,1707,1093,4144,,95.5500030517578,,303,302,859,,,,,,,
