"provider","prvdr_num","fyb","fybstr","fye","fyestr","status","hospital_name","street_addr","po_box","city","state","zip_code","county","ime1","ime2","ime3","dsh1","dsh2","dsh3","dshpct","gme_part_a","gme_part_b","beds","bed_days","medicare_days","medicaid_days","days","intres","employees","volunteers","medicare_disch","medicaid_disch","discharges","medicaid_hmo_discharges","medicaid_hmo_ipf_subprovider","medicaid_hmo_irf_subprovider","medicaid_ipf_subprovider","medicaid_irf_subprovider","total_discharges_subprovider_ipf","total_discharges_subprovider_irf"
"010055","010055",10/1/2016,"01-OCT-16",9/30/2017,"30-SEP-17","As Submitted","FLOWERS HOSPITAL                        ","4370 WEST MAIN STREET                   ","6907                                    ","DOTHAN                                  ","AL                                      ","36302-                                  ","HOUSTON                                 ",,,,827887,,,0.0816999971866608,,,229,83585,23640,6220,53459,,1064.57995605469,,4902,1372,11831,,,,,,,
"010056","010056",7/1/2017,"01-JUL-17",6/30/2018,"30-JUN-18","As Submitted","ST VINCENTS BIRMINGHAM                  ","810 ST VINCENTS DRIVE                   ",,"BIRMINGHAM                              ","AL                                      ","35205-                                  ","JEFFERSON                               ",69393,,,465782,,,0.0403000004589558,26132,12177,409,149285,25957,11607,110194,,1732.08996582031,,4868,1552,20846,,,,,,,
"010058","010058",10/1/2016,"01-OCT-16",9/30/2017,"30-SEP-17","As Submitted","BIBB MEDICAL CENTER                     ","165 PIERSON AVENUE                      ",,"CENTREVILLE                             ","AL                                      ","35042                                   ","BIBB                                    ",,,,18795,,,0.119999997317791,,,25,9125,2132,211,3635,,123.809997558594,,138,47,343,,,,,,,
"010059","010059",10/1/2016,"01-OCT-16",9/30/2017,"30-SEP-17","As Submitted","LAWRENCE MEDICAL CENTER                 ","202 HOSPITAL STREET                     ",,"MOULTON                                 ","AL                                      ","35650-                                  ","LAWRENCE                                ",,,,37005,,,0.100100003182888,,,43,15695,1996,185,2846,,112.410003662109,,316,62,641,,,,,,,
"010061","010061",10/1/2016,"01-OCT-16",9/30/2017,"30-SEP-17","As Submitted","HIGHLANDS MEDICAL CENTER                ","380 WOOD COVE ROAD                      ","1050                                    ","SCOTTSBORO                              ","AL                                      ","35768                                   ","JACKSON                                 ",,,,206728,,,0.119999997317791,,,168,61320,4938,2702,10588,,366.600006103516,,1215,910,2914,,,,,,,
"010062","010062",10/1/2016,"01-OCT-16",9/30/2017,"30-SEP-17","As Submitted","WIREGRASS MEDICAL CENTER                ","1200 WEST MAPLE STREET                  ",,"GENEVA                                  ","AL                                      ","36340                                   ","GENEVA                                  ",,,,58478,,,0.0945999994874001,,,73,26645,2366,387,3982,,166.369995117188,,514,109,894,9,,,29,,285,
"010065","010065",1/1/2017,"01-JAN-17",12/31/2017,"31-DEC-17","Amended","RUSSELL MEDICAL CENTER                  ","C                                       ","939                                     ","ALEXANDER CITY                          ","AL                                      ","35010                                   ","TALLAPOOSA                              ",,,,267535,,,0.129700005054474,,,44,16060,4512,2459,11263,,429.630004882812,,1246,574,2816,,,,,,,
"010069","010069",10/1/2016,"01-OCT-16",9/30/2017,"30-SEP-17","As Submitted","SEAR                                    ","820 WEST WASHINGTON STREET              ",,"EUFAULA                                 ","AL                                      ","36027                                   ","BARBOUR                                 ",,,,63336,,,0.111299999058247,,,30,10950,2576,503,4577,,138.089996337891,,469,117,1003,,,,,,328,
"010073","010073",10/1/2016,"01-OCT-16",9/30/2017,"30-SEP-17","As Submitted","CLAY COUNTY HOSPITAL                    ","83825 HIGHWAY 9                         ","1270                                    ","ASHLAND                                 ","AL                                      ","36251                                   ","CLAY                                    ",,,,174664,,,0.28600001335144,,,46,16790,2835,1115,4811,,165.520004272461,,510,245,966,,,,,,,
"010078","010078",7/1/2017,"01-JUL-17",9/30/2017,"30-SEP-17","As Submitted","NORTHEAST ALABAMA REGIONAL MED CTR      ","400 EAST TENTH STREET                   ","2208                                    ","ANNISTON                                ","AL                                      ","36202-                                  ","CALHOUN                                 ",,,,306788,,,0.163200005888939,,,250,23000,5812,3604,14799,,1431.03002929688,,1004,674,3005,,,,,,252,
"010079","010079",7/1/2017,"01-JUL-17",6/30/2018,"30-JUN-18","As Submitted","ATHENS LIMESTONE                        ","ATHENS LIMESTONE HOSPITAL               ","999                                     ","ATHENS                                  ","AL                                      ","35611-                                  ","LIMESTONE                               ",,,,339201,,,0.118000000715256,,,66,24090,6537,2795,15145,,501.480010986328,,1554,1022,4413,,,,,,,
"010083","010083",10/1/2016,"01-OCT-16",9/30/2017,"30-SEP-17","As Submitted","SOUTH BALDWIN REGIONAL MEDICAL CENTE    ","1613 NORTH MCKENZIE                     ",,"FOLEY                                   ","AL                                      ","36535-                                  ","BALDWIN                                 ",,,,223930,,,0.063400000333786,,,112,40880,9340,4118,27467,,619.799987792969,,2163,991,6926,,,,,,,
"010085","010085",4/1/2017,"01-APR-17",3/31/2018,"31-MAR-18","As Submitted","DECATUR MORGAN - DECATUR CAMPUS         ","7TH STREET S.E.                         ","2239                                    ","DECATUR                                 ","AL                                      ","35609-                                  ","MORGAN                                  ",,,,498988,,,0.0776000022888184,,,185,67525,20919,5785,42364,,1087.03002929688,,3890,1982,9483,,,,,,1699,
"010086","010086",1/1/2017,"01-JAN-17",12/31/2017,"31-DEC-17","As Submitted","NORTHWEST MEDICAL CENTER                ","HIGHWAY 78 WEST                         ","130                                     ","WINFIELD                                ","AL                                      ","35594                                   ","MARION                                  ",,,,22762,,,0.0348999984562397,,,61,22265,2480,313,3905,,170.880004882812,,519,81,1005,,,,15,,192,
"010087","010087",10/1/2016,"01-OCT-16",9/30/2017,"30-SEP-17","As Submitted","UNIV OF SOUTH ALABAMA MEDICAL CENTER    ","2451 FILLINGIM STREET                   ",,"MOBILE                                  ","AL                                      ","36617                                   ","MOBILE                                  ",5632088,,,1031102,,,0.315299987792969,2224849,1887907,148,54020,8374,14823,46280,138.589996337891,1486.28002929688,,1328,2248,7794,,,,,,,
"010089","010089",1/1/2017,"01-JAN-17",12/31/2017,"31-DEC-17","As Submitted","WALKER BAPTIST MEDICAL CENTER           ","3400 HIGHWAY 78 EAST                    ","3547                                    ","JASPER                                  ","AL                                      ","35502                                   ","WALKER                                  ",,,,508985,,,0.163399994373322,,,219,79935,7814,4979,23880,,453.970001220703,,1821,1222,5998,,,,393,,1636,
"010090","010090",7/1/2017,"01-JUL-17",6/30/2018,"30-JUN-18","As Submitted","PROVIDENCE HOSPITAL                     ","6801 AIRPORT BLVD                       ",,"MOBILE                                  ","AL                                      ","36608                                   ","MOBILE                                  ",,,,510327,,,0.0623999983072281,,,349,127385,20870,3065,72062,,1100.57995605469,,3851,535,14147,1404,,,,,,
"010091","010091",7/1/2017,"01-JUL-17",6/30/2018,"30-JUN-18","As Submitted","GROVE HILL MEMORIAL HOSPITAL            ","295 SOUTH JACKSON STREET                ","935                                     ","GROVE HILL                              ","AL                                      ","36451-                                  ","CLARKE                                  ",,,,22122,,,0.119999997317791,,,21,7665,562,1047,2895,,105.550003051758,,174,344,840,,,,11,,152,
"010092","010092",10/1/2016,"01-OCT-16",9/30/2017,"30-SEP-17","As Submitted","DCH REGIONAL MEDICAL CENTER             ","809 UNIVERSITY BLVD EAST                ",,"TUSCALOOSA                              ","AL                                      ","35401-                                  ","TUSCALOOSA                              ",4051907,,,3665369,,,0.175200000405312,1307426,528158,501,182865,54910,35749,146786,47.7299995422363,3630.63989257812,,10754,8262,32357,,,,,38,1919,757
"010095","010095",10/1/2016,"01-OCT-16",9/30/2017,"30-SEP-17","As Submitted","HALE COUNTY HOSPITAL                    ","508 GREENE STREET                       ",,"GREENSBORO                              ","AL                                      ","36744                                   ","HALE                                    ",,,,20501,,,0.119999997317791,,,28,10220,1602,210,2413,,80.9800033569336,,170,89,324,,,,,,,
"010097","010097",1/1/2017,"01-JAN-17",12/31/2017,"31-DEC-17","As Submitted","ELMORE COMMUNITY HOSPITAL               ","500 HOSPITAL DRIVE                      ",,"WETUMPKA                                ","AL                                      ","36092                                   ","ELMORE                                  ",,,,47363,,,0.119999997317791,,,33,12045,1242,575,2974,,121.209999084473,,319,139,760,,,,,,,
"010099","010099",10/1/2016,"01-OCT-16",9/30/2017,"30-SEP-17","As Submitted","D W MCMILLAN MEMORIAL HOSPITAL          ","1301 BELLEVILLE AVENUE                  ","908                                     ","BREWTON                                 ","AL                                      ","36427                                   ","ESCAMBIA                                ",,,,81045,,,0.119999997317791,,,46,16790,2328,1555,5749,,182.770004272461,,577,398,1496,,,,,,,
"010100","010100",4/1/2017,"01-APR-17",3/31/2018,"31-MAR-18","As Submitted","THOMAS HOSPITAL                         ","750 MORPHY AVE                          ","929                                     ","FAIRHOPE                                ","AL                                      ","36532-                                  ","BALDWIN                                 ",,,,196657,,,0.0315000005066395,,,129,47085,13508,4866,39668,,811,,3019,1430,9250,,,,,,,
"010101","010101",1/1/2017,"01-JAN-17",12/31/2017,"31-DEC-17","As Submitted","CITIZENS BAPTIST MEDICAL CENTER         ","604 STONE AVENUE                        ",,"TALLADEGA                               ","AL                                      ","35161                                   ","TALLADEGA                               ",,,,221436,,,0.248600006103516,,,81,29565,2437,2378,7929,,224.009994506836,,617,548,2107,,,,16,,239,
"010102","010102",10/1/2016,"01-OCT-16",9/30/2017,"30-SEP-17","As Submitted","JOHN PAUL JONES HOSPITAL                ","317 MCWILLIAMS AVENUE                   ","B                                       ","CAMDEN                                  ","AL                                      ","36726-1610                              ","WILCOX                                  ",,,,9146,,,0.119999997317791,,,21,7665,463,221,967,,38.6300010681152,,81,47,191,,,,,,,
"010103","010103",1/1/2017,"01-JAN-17",12/31/2017,"31-DEC-17","As Submitted","PRINCETON BAPTIST MEDICAL CENTER        ","701 PRINCETON AVE SW                    ",,"BIRMINGHAM                              ","AL                                      ","35211                                   ","JEFFERSON                               ",4137544,,,1037353,,,0.0986000001430511,3161450,827767,278,101590,20999,10872,71252,50.5099983215332,1065,,3883,1705,13658,,,,18,,544,
"010104","010104",7/1/2017,"01-JUL-17",6/30/2018,"30-JUN-18","As Submitted","GRANDVIEW MEDICAL CENTER                ","800 MONTCLAIR ROAD                      ",,"BIRMINGHAM                              ","AL                                      ","35213                                   ","JEFFERSON                               ",2648285,,,822767,,,0.0675999969244003,1971468,682842,352,128297,28298,12239,96020,38.2900009155273,1608.4599609375,,5139,1575,19952,,,,12,1,311,465
"010108","010108",7/1/2017,"01-JUL-17",6/30/2018,"30-JUN-18","As Submitted","PRATTVILLE BAPTIST HOSPITAL             ","124 SOUTH MEMORIAL DRIVE                ",,"PRATTVILLE                              ","AL                                      ","36067-                                  ","AUTAUGA                                 ",,,,107568,,,0.0737999975681305,,,50,18250,5367,1495,14352,,302.239990234375,,1105,444,3295,,,,,,,
"010109","010109",10/1/2016,"01-OCT-16",9/30/2017,"30-SEP-17","As Submitted","PICKENS COUNTY MEDICAL CENTER           ","R.K. WILSON DRIVE                       ",,"CARROLLTON                              ","AL                                      ","35477                                   ","PICKENS                                 ",,,,20945,,,0.088699996471405,,,40,14600,1071,158,2044,,103.589996337891,,227,58,502,,,,10,,74,
"010110","010110",1/1/2017,"01-JAN-17",12/31/2017,"31-DEC-17","As Submitted","BULLOCK COUNTY HOSPITAL                 ","BULLOCK COUNTY HOSPITAL                 ","102 CONECUH AVENUE                      ","UNION SPRINGS                           ","AL                                      ","36089                                   ","BULLOCK                                 ",,,,29883,,,0.119999997317791,,,30,10950,1043,823,2685,,95.5,,227,164,572,,,,172,,606,
"010112","010112",10/1/2016,"01-OCT-16",9/30/2017,"30-SEP-17","As Submitted","BRYAN W WHITFIELD MEMORIAL HOSPITAL     ","105 HIGHWAY 80 EAST                     ",,"DEMOPOLIS                               ","AL                                      ","36732                                   ","MARENGO                                 ",,,,71013,,,0.119999997317791,,,89,32485,3089,2128,6188,,220.369995117188,,519,556,1409,,,,95,,346,
"010113","010113",4/1/2017,"01-APR-17",3/31/2018,"31-MAR-18","As Submitted","MOBILE INFIRMARY MEDICAL CENTER         ","FIVE MOBILE INFIRMARY CIRCLE            ","2144                                    ","MOBILE                                  ","AL                                      ","36652-                                  ","MOBILE                                  ",280777,,,2101064,,,0.136700004339218,178190,36889,618,225570,43632,28576,151141,4.51999998092651,1942.63000488281,,7148,4634,25979,,,,62,16,464,719
"010114","010114",1/1/2017,"01-JAN-17",12/31/2017,"31-DEC-17","As Submitted","UAB MEDICAL WEST                        ","995 NINTH AVENUE  SOUTHWEST             ","847                                     ","BESSEMER                                ","AL                                      ","35023                                   ","JEFFERSON                               ",,,,251755,,,0.0864000022411346,,,187,68255,9792,5457,34607,,875.489990234375,,1550,1393,6086,,,,36,20,496,421
"010118","010118",7/1/2017,"01-JUL-17",6/30/2018,"30-JUN-18","As Submitted","VAUGHAN REGIONAL MEDICAL CENTER         ","1015 MEDICAL CENTER PARKWAY             ",,"SELMA                                   ","AL                                      ","36701                                   ","DALLAS                                  ",404922,,,929859,,,0.360799998044968,377102,172215,163,59495,6417,5493,17576,16.1299991607666,395.290008544922,,1658,1456,5100,162,,,,,,
"010120","010120",10/1/2016,"01-OCT-16",9/30/2017,"30-SEP-17","As Submitted","MONROE COUNTY HOSPITAL                  ","HIGHWAY 21                              ",,"MONROEVILLE                             ","AL                                      ","36461                                   ","MONROE                                  ",,,,58748,,,0.119999997317791,,,49,17885,1478,1036,3596,,212.490005493164,,444,290,1111,,,,,,,
"010125","010125",1/1/2017,"01-JAN-17",12/31/2017,"31-DEC-17","As Submitted","LAKELAND COMMUNITY HOSPITAL             ","HIIGHWAY 195 EAST                       ","780                                     ","HALEYVILLE                              ","AL                                      ","35565                                   ","WINSTON                                 ",,,,115105,,,0.129800006747246,,,50,18250,4269,989,6843,,108.919998168945,,791,197,1489,,,,19,,129,
"010126","010126",1/1/2017,"01-JAN-17",12/31/2017,"31-DEC-17","Amended","TROY REGIONAL MEDICAL CENTER            ","130 HIGHWAY 231                         ",,"TROY                                    ","AL                                      ","36081                                   ","PIKE                                    ",,,,88622,,,0.119999997317791,,,97,35405,2550,1521,7293,,229.229995727539,,513,363,1712,,,,,,,
"010128","010128",1/1/2017,"01-JAN-17",12/31/2017,"31-DEC-17","As Submitted","JACKSON MEDICAL CENTER                  ","220 HOSPITAL DRIVE                      ",,"JACKSON                                 ","AL                                      ","36545                                   ","CLARKE                                  ",,,,46239,,,0.119999997317791,,,35,12775,1907,974,3881,,124.419998168945,,357,280,854,,,,,,,
"010129","010129",4/1/2017,"01-APR-17",3/31/2018,"31-MAR-18","As Submitted","NORTH BALDWIN INFIRMARY                 ","1815 HAND AVENUE                        ","1409                                    ","BAY MINETTE                             ","AL                                      ","36507                                   ","BALDWIN                                 ",,,,87806,,,0.119999997317791,,,55,20075,1614,1552,6111,,189.050003051758,,480,609,1912,,,,8,,347,
"010130","010130",7/1/2017,"01-JUL-17",6/30/2018,"30-JUN-18","As Submitted","ST. VINCENTS ST. CLAIR                  ","7063 VETERANS PARKWAY                   ",,"PELL CITY                               ","AL                                      ","35125                                   ","ST. CLAIR                               ",,,,,,,,,,40,14600,2347,354,6996,,156,,574,103,1806,,,,,,,
"010131","010131",7/1/2017,"01-JUL-17",6/30/2018,"30-JUN-18","As Submitted","CRESTWOOD MEDICAL CENTER                ","ONE HOSPITAL DRIVE                      ",,"HUNTSVILLE                              ","AL                                      ","35801-                                  ","MADISON                                 ",,,,439673,,,0.0516999997198582,,,183,66795,17676,5327,45067,,1027.31994628906,,3836,949,11080,,,,,,,
"010138","010138",1/1/2017,"01-JAN-17",12/31/2017,"31-DEC-17","As Submitted","HILL HOSPITAL OF SUMTER COUNTY          ","751 DERBY DRIVE                         ",,"YORK                                    ","AL                                      ","36925                                   ","SUMTER                                  ",,,,10695,,,0.119999997317791,,,33,12045,1189,2174,3577,,38.8300018310547,,105,165,462,,,,,,,
"010139","010139",1/1/2017,"01-JAN-17",12/31/2017,"31-DEC-17","Amended","BROOKWOOD BAPTIST MEDICAL CENTER        ","2010 BROOKWOOD MEDICAL CENTER DRIVE     ",,"BIRMINGHAM                              ","AL                                      ","35209                                   ","JEFFERSON                               ",,,,603401,,,0.0696000009775162,,,422,154030,21201,14060,85182,,1308.42004394531,,4018,1667,17724,12,13,,801,2,4256,768
"010144","010144",1/1/2017,"01-JAN-17",12/31/2017,"31-DEC-17","As Submitted","SPRINGHILL MEMORIAL HOSPITAL            ","3719 DAUPHIN STREET                     ",,"MOBILE                                  ","AL                                      ","36608                                   ","MOBILE                                  ",,,,368400,,,0.0623000003397465,,,198,71826,15123,5798,58566,,1004.07000732422,,2696,1235,11222,,,,,,,256
